[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830722093
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830729188
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830734023
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830741999
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830744464
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830747015
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830756455
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830757118
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830764193
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830765780
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830767047
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830768577
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830771279
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830773736
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830780575
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830783184
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830786323
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830787706
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830790665
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830793321
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830802363
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830804128
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830806731
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830820036
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830827280
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830842130
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830848634
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830851811
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830854286
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830856004
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830857109
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830858687
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830859679
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830866540
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830871496
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830873030
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830873983
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830891196
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830895849
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830915489
